ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER
1577927-20100216,2011711,288153,1
1622018-20080416,1890336,65309,2
1845537-20070824,1845537,321370,1
1095616-20011116,1191288,208209,1
66111-20050216,1557289,43520,1
40414-20060216,1660265,55065,1
1425723-20030922,1425723,268084,1
31566-20040216,1457740,53709,1
13074-20080916,1917332,27180,1
35537-20140316,2305779,54264,1
1680599-20090316,1951572,246149,2
1335118-20110516,2085607,49270,2
2088191-20110324,2088191,360784,1
1495245-20090316,1951934,278154,1
1948401-20090106,1948401,251608,2
1888832-20150216,2370599,219931,2
1358444-20050216,1558793,53861,3
1475814-20040322,1475814,272886,1
1847523-20090216,1947122,322045,1
19873-20050216,1550403,8027,1
2109665-,2109665,325984,19
1622959-20050920,1622959,263608,2
1958668-20090218,1958668,340941,2
1488010-20040324,1488010,263390,2
67831-20000216,288034,20845,1
1948224-20090122,1948224,29087,30
1119955-20060216,1664181,209602,1
1123958-20021116,1295529,211731,1
1271147-20040216,1465085,250538,1
1878845-20071213,1878845,324741,1
1520663-20070816,1837077,281909,1
62970-20010816,1222039,42265,3
3274-20111216,2121534,2852,1
2192561-20150516,2389326,361651,2
2125193-20111107,2125193,213986,14
1244524-20030216,1337361,25415,3
1045605-20020216,1216368,203705,1
1947830-20081222,1947830,339687,2
1166597-20040216,1463015,216894,1
1140437-20050216,1563710,213042,1
1193556-20100516,2024388,219979,1
72950-20020216,1202305,21960,1
16068-20090116,1939739,27962,1
1334114-20070216,1788762,258989,1
1383899-20110816,2099959,17542,2
1357611-,1357611,264104,1
2164196-20120801,2164199,343037,1
1303994-20040407,1303994,256001,1
1139205-20060216,1659691,52370,2
84149-20100416,2019173,80962,2
74766-20020216,1202405,22305,2
1354908-20030507,1354908,262694,1
1547787-20041214,1547787,285637,1
1576669-20060216,1661879,65406,42
1737308-20110316,2075613,30291,12
1169201-20020816,1268332,217984,2
1888284-20080916,1920310,327044,1
2102719-20110627,2102719,363102,1
1739476-20090316,1952434,307236,1
74874-20030216,1310075,22334,1
2163735-20120629,2163735,321499,1
1675432-20110716,2096735,299451,1
2133686-20111219,2133686,368507,1
1574162-20090316,1952057,286589,1
45258-20070216,1779526,35740,1
8961-20030216,1316746,50840,1
2164187-20120709,2164187,373895,1
1963741-20110416,2083057,341937,1
36115-20080516,1896168,54354,1
1737543-20070216,1796445,306323,1
2013905-20110516,2086845,309582,2
2093817-20110502,2093817,361859,1
16925-20020816,1255398,28178,1
1576661-,1576661,65406,35
1356311-20050216,1567925,263369,1
23160-20090416,1956754,85874,1
1092197-20020216,1216860,206463,1
1093666-20110316,2074887,5854,2
19754-20050216,1558409,52119,1
2141177-20120217,2141177,369855,1
1356157-20030520,1356157,263280,1
2124407-20111014,2124407,274250,5
2016721-20101016,2050473,6453,21
1243394-20090516,1961775,244110,1
79444-20021116,1292570,67499,1
2129534-20131216,2292723,368042,1
1847502-20080416,1889600,28411,2
85862-20071216,1873789,66610,94
1139290-20040216,1462467,212320,1
2088713-20130416,2239525,361002,1
1594236-20070216,1793076,290566,1
1380796-,1380796,265521,1
2146423-20120320,2146423,370638,1
1904795-20080701,1904795,326676,2
62953-20140316,2305501,19856,2
48394-20011116,1355718,56292,1
1622402-20120316,2136407,295813,1
1422424-20160416,2447519,7300,1
2103220-20110627,2103220,363277,1
27054-20070816,1825495,11233,1
44604-20080816,1911384,35526,1
2021622-20140316,2307015,351170,1
1478805-20060216,1657516,35492,1
1516895-20060816,1730553,243732,13
1963375-20121016,2182391,337417,2
26065-20070816,1831349,63578,1
2093991-20110517,2093991,361936,1
52735-20120116,2127086,85889,1
1332509-20030203,1332509,258356,1
1682103-20060321,1682103,292684,1
1301231-20061116,1745019,6640,1
35976-20090316,1951096,86137,1
24101-20040216,1453670,29956,1
1821594-20071116,1867931,316573,1
36745-20060516,1683040,592,4
1915356-20110516,2087096,331674,1
47892-20110116,2066254,36683,1
2036659-20120616,2151017,353611,1
1273601-20021021,1273601,251714,1
1196555-20020216,1220756,222070,1
2164214-20130616,2250810,343873,1
2198146-20131216,2291282,210638,4
1141810-20040216,1462626,214019,1
41668-20060516,1683637,5033,22
1000897-20030216,1322056,201092,1
1444665-20031205,1444665,269558,1
73852-20140316,2305520,22139,1
21849-20160416,2447630,9053,1
1300901-20090516,1961871,254506,1
64051-20030216,1318918,59148,1
1354735-20060216,1668126,262609,1
1473881-20070216,1790298,272115,1
16594-20030516,1341334,6891,1
1575808-20070816,1837532,287242,1
1224471-20050216,1559717,58626,3
2064214-20101018,2064214,357389,1
1592924-20070216,1792997,289994,1
1678598-20070216,1794897,300749,1
45958-20040816,1414302,36030,1
2027160-20100330,2027160,352034,1
3512-20020816,1331215,2911,1
1093010-20040816,1506706,85430,2
2141766-20120229,2141766,370119,1
72030-20030216,1315779,45657,1
1118693-20020216,1217346,208904,1
1622774-20080716,1907440,296007,1
1574988-20111216,2123198,283855,2
2134642-20120113,2134642,342430,4
2049107-20100730,2049107,355435,1
72162-20040816,1516645,45711,1
1145663-20030216,1324515,216143,1
1249742-20121216,2194237,249904,1
4132-20110616,2090852,85430,1
1224550-,1597924,19213,3
1489990-20040816,1513392,275461,1
44904-20080216,1880653,16491,5
1577819-20100316,2016006,274496,2
2158632-20120614,2158632,372240,1
1893753-20080609,1893753,320710,1
1274165-20021003,1274165,251977,1
2036414-20100519,2036414,207465,2
5129-20110316,2074734,3350,13
1330820-20070216,1778124,29087,10
2021252-20100827,2021252,20800,6
1475862-20100416,2018475,30254,3
1332247-20070216,1788644,258216,1
84280-20020216,1214527,81206,1
1932955-20080930,1932955,337411,1
27026-20020216,1204877,30658,1
2147291-20160416,2450474,371060,1
2013529-20110916,2107737,349821,1
1575359-20070216,1785638,207698,14
17505-20051116,1624614,7098,5
1119013-20020216,1217400,209085,1
84212-20050216,1579795,81425,1
1353885-20060216,1668067,262159,1
2142664-20120323,2142664,370464,1
1477683-20060216,1669698,273450,1
1274959-20020918,1274959,252256,1
1870058-20120616,2149556,255921,4
1271308-20020830,1271308,250626,1
1272760-20060216,1666602,251355,1
1171401-20020216,1220285,219145,1
1698425-20081116,1930872,293446,2
1495390-20060216,1670582,278253,1
63121-20120116,2126855,42322,2
2202873-20121205,2202873,377491,1
1138933-20090416,1956919,212119,1
1842582-20121016,2182114,320313,1
1356544-20040216,1468047,263479,1
29796-20020216,1205149,31395,1
1222984-20030216,1326011,229919,1
1766278-20080616,1902288,309418,1
36408-20020216,1211021,54389,1
1447339-20060816,1724880,41404,3
1916553-20120516,2143840,33270,2
2069331-20101208,2069331,358307,1
10729-20070216,1773754,4696,1
2084645-20110309,2084645,360351,1
2109088-20110802,2109088,48185,3
68430-20020216,1212483,60021,1
2177190-20121022,2177190,374167,1
46550-20060816,1726483,56034,1
47585-20050216,1556398,36599,1
2185298-20120926,2185298,375578,1
40224-20110216,2070423,15925,1
1442852-20050516,1585931,57405,3
1336381-20040216,1467135,260137,1
1800135-20070125,1800135,58182,4
55017-20060216,1663032,86304,1
1403768-20050216,1568556,267294,1
1490526-20040419,1490526,275731,1
1353008-20070216,1789119,261701,1
1592185-20050331,1592185,278404,2
2130067-20121130,2130067,304881,2
1984923-20090721,1984923,345488,1
1954601-20090227,1954601,305414,6
19871-20030816,1363509,28901,1
86874-20040216,1460181,69569,1
1489551-20070216,1786665,218678,1
1841457-20070702,1841457,319801,1
1575627-20101116,2056736,46611,2
1119044-20011116,1191448,209105,1
1354778-20050216,1557542,46041,2
1222965-20020213,1222965,229908,1
32961-20020516,1229587,317,1
35395-20061116,1749477,32827,1
1595691-20110416,2082406,291404,1
1695432-20080216,1882609,299710,25
1620460-20051101,1620460,294945,1
51798-20051116,1630244,38080,1
2083689-20110228,2083689,359963,1
1379481-20040216,1468470,264844,1
7760-20111116,2116103,25700,1
44918-20011116,1172795,465,2
2125440-20111215,2125440,66610,171
1803124-20110316,2077837,314837,1
1578361-20050303,1578361,288400,1
1513861-20140316,2306535,278813,1
2017971-20100302,2017971,295612,2
1718692-20070126,1718692,7930,3
2084144-20110228,2084144,360138,1
1169428-20160316,2444497,218178,1
1242729-20030216,1333764,65406,1
1517914-20040820,1517914,280606,1
1478498-20070216,1790621,273778,1
1354505-20110416,2082034,262469,1
5349-20030216,1319301,62717,1
1273337-20050816,1611279,251597,1
75453-20120616,2148542,22463,1
1953279-20090116,1953279,340179,2
1903681-20080425,1903681,275503,5
2088623-20110330,2088623,360975,1
1357-20120316,2134843,259,13
1096401-20020816,1266867,208797,1
1515476-20040809,1515476,279607,1
1223452-20080516,1895045,5736,3
1980141-20090626,1980141,344957,1
2141954-20120302,2141954,370206,1
1443590-20041116,1523423,14551,4
2115122-20110913,2115122,366121,2
2054643-20120816,2161134,333924,2
1868266-20110916,2105490,55899,3
1959062-20111016,2112639,330890,2
1304993-20040216,1451873,22211,3
1800657-20070131,1800657,313987,1
2379-20120216,2131048,24392,1
1271881-20050216,1565907,250909,1
1383506-20050216,1568462,266733,1
1884221-20080205,1884221,325997,2
1357323-20040216,1468190,263932,1
1225585-20020404,1225585,243206,6
1992192-20090909,1992192,347120,1
1616344-20050623,1616344,293057,1
2108973-20110804,2108973,364943,1
2202104-20121116,2202104,377115,1
1898614-20080401,1898614,329732,1
1675865-20060111,1675865,299706,1
23171-20030216,1312009,29679,1
2027308-20140416,2310215,51981,4
1354397-20030430,1354397,262394,1
1119754-20031116,1436009,202402,1
1844176-20090116,1941990,320841,1
2064257-20101019,2064257,357414,1
1893891-20080321,1893891,329147,1
1093516-20030816,1361607,19902,3
1515378-20100616,2029036,54376,4
1766271-20090916,2002861,285666,2
1477420-20070216,1790548,273376,1
23928-20070216,1783149,63457,1
2014178-20100112,2014178,350106,1
1492921-20060216,1670343,276980,1
1847668-20071101,1847668,320920,2
35161-20050516,1584317,32760,1
1922607-20120816,2161186,335765,1
1404173-20040216,1469147,267505,1
2084481-20110304,2084481,360281,1
1926452-20121116,2188034,336001,1
44298-20040216,1458158,55673,1
1766475-20091116,1996257,309495,1
1357198-20040216,1451665,21247,3
1515992-20040802,1515992,279835,1
1577183-20071016,1998688,65406,70
1119997-20050216,1563241,209551,1
2099482-20110609,2099482,362882,1
1380831-20030714,1380831,265540,1
1514211-20100116,2006597,278998,1
1305651-20060216,1667227,256692,1
1442530-20070216,1778811,32127,3
1737653-20070216,1791480,279632,1
1694948-20060403,1694948,302806,1
85183-20030216,1320128,66098,2
1475736-20040203,1475736,272858,1
1697296-20090916,1983844,303892,1
54974-20060216,1660635,57449,1
10650-20020216,1203492,26492,1
1496203-20040629,1496203,278715,1
37321-20050216,1558958,54573,1
1591994-20050331,1591994,289542,1
1544120-20060216,1671460,283422,1
1922971-20121116,2185636,10323,8
1596860-20130516,2243327,292052,1
1120079-20090316,1951328,209670,1
2109227-20110804,2109227,365139,1
1844734-20090116,1942002,321030,1
1119582-20020816,1266946,209393,1
8656-20090816,1977056,50811,1
1336128-20040216,1467081,259987,1
1224580-20060216,1657075,33200,2
55954-20030216,1314814,39703,1
2179601-20120809,2179601,85804,4
31902-20080516,1896144,53758,1
56988-20040816,1505963,64661,10
1096264-20100416,2019330,208645,1
64409-20040216,1494464,59211,1
1121848-20050216,1563379,210502,1
1276216-20050216,1594021,252805,1
44350-20061116,1749955,35413,2
1804053-20080216,1883000,315219,1
43344-20021116,1286908,35068,1
1194454-20020216,1220565,220383,1
45762-20040216,1455115,35932,1
1448059-20050216,1569286,271271,1
2087922-20110321,2087922,360635,1
1947894-20090310,1947894,280502,30
1904044-20080501,1904044,308704,2
34100-20030216,1317637,54068,1
1120215-20050216,1563271,209752,1
1884216-20091016,1990323,325778,1
1489962-20050816,1600748,15695,3
3043-20070816,1826918,24620,1
84292-20050216,1561433,81446,1
1981213-20121116,2188177,341450,1
1515653-20040804,1515653,278209,1
1820945-20110116,2067820,316167,1
43250-20120516,2144157,55498,1
2064200-20101018,2064200,259171,1
9771-20050816,1606877,62906,1
1909078-20111016,2112658,332132,1
2137015-20120123,2137015,251999,2
1335356-20030304,1335356,259596,1
1676602-20060118,1676602,244971,2
1979503-20100616,2030069,289463,2
1518088-20060216,1678476,280699,1
32607-20140316,2305361,7224,1
1119539-20030216,1323161,209372,1
1887915-20081116,1931695,326838,1
1475143-20070216,1786909,221748,2
1716701-20090216,1945506,252101,2
2021513-20111216,2122280,36416,2
38761-20020216,1200596,15685,2
2137392-20140216,2303323,369282,1
1694812-20120216,2132027,263985,1
1193836-20020216,1220501,220112,1
1226957-20021116,1290652,56633,3
1992577-20100816,2040314,298777,4
2109971-20110815,2109971,364496,2
1245781-20030216,1327349,246690,1
63120-20060216,1654090,19885,2
1681455-20080416,1891304,301976,1
1404008-20040216,1469126,267420,1
60973-20021116,1288144,41606,1
1490857-20040429,1490857,260592,5
2172599-20120712,2172599,374020,1
2146300-20140416,2312957,370568,1
1741028-20120516,2145246,307997,1
1301028-20060816,1731268,254563,1
87109-20111116,2117137,88611,1
38775-20030216,1313280,33777,1
52964-20040216,1449259,5354,1
2032965-20110416,2083327,351732,7
19090-20050216,1550347,7782,2
1623148-20050921,1623148,296170,1
81168-20050816,1607913,67869,1
1546149-20041116,1546149,284476,1
1575950-20060216,1672114,287298,1
1899696-20100616,2029099,58594,4
1143846-20060516,1686691,31516,29
1242679-20050216,1554400,28439,2
82938-20060816,1728028,68302,1
71439-20010216,1108660,45448,1
1573510-20070216,1783527,65406,21
79904-20040816,1503414,48607,1
1246391-20020702,1246391,247184,1
26113-20070216,1781594,52958,1
1904168-20080502,1904168,330972,1
1868168-20080216,1883161,322660,1
1170851-20040216,1458321,56607,2
1220832-20040216,1463750,222722,1
1576998-20060816,1734436,287770,1
1479478-20040409,1479478,274153,15
1883602-20071226,1883602,299824,2
86553-20040216,1460318,81854,1
1915407-20120216,2132817,309294,2
1676975-20060328,1676975,300107,1
2103108-20140916,2347317,354795,3
1244826-20040216,1464600,246359,1
1915028-20080626,1915028,333359,1
1474022-20040414,1474022,81796,4
1998433-20091217,1998433,347729,1
1681157-20060309,1681157,301813,1
1141408-20070216,1786197,213785,1
2114866-20130916,2277098,366122,1
1646563-20060216,1674660,296888,1
78434-20020216,1202656,23093,2
1495239-20040615,1495239,278150,1
1816355-20070413,1816355,315565,1
1743070-20101116,2058323,309026,1
1768155-20070816,1840253,310715,1
2031447-20101016,2053852,352498,1
1959478-20110316,2078418,341316,1
1275069-20050216,1566092,252296,1
68181-20070216,1776442,20939,2
1277643-20120316,2135080,8313,3
1516427-20060516,1690824,216777,2
1336325-20050216,1567353,260118,1
1739017-20060717,1739017,294957,2
39510-20110616,2090526,54905,1
1515069-20080416,1890995,279413,1
1471104-20060216,1669290,271588,1
1593621-20050418,1593621,290350,1
1717582-20070216,1796163,305230,1
1475077-20050216,1559353,56956,4
46149-20140516,2316125,36098,1
2163992-20120705,2163992,373810,1
31972-20111016,2110666,32019,1
1738083-20080616,1902233,306624,1
1646940-20051114,1646940,297075,1
1223633-20030216,1326107,230177,1
1228290-20030216,1326864,245090,1
1248775-20040216,1453346,28655,2
1248846-20040216,1464930,248565,1
1249229-20050216,1565771,248768,1
1488225-20040409,1488225,274559,1
2074354-20110107,2074354,346918,1
1249571-20040216,1458680,58470,2
2048439-20100720,2048439,41930,2
1227131-20030216,1326682,243908,1
31595-20020216,1200326,14377,1
1171683-20020515,1171683,219285,1
1300849-20071116,1860962,254487,1
1803601-20090316,1952666,314998,1
43271-20020816,1257073,35041,1
1648105-20070516,1813183,256554,2
23815-20100816,2038992,52605,1
72426-20020216,1202275,21844,2
1649657-20111016,2111540,221974,3
1141760-20040216,1462622,213998,1
1697384-20090916,1982326,57053,3
1333438-20130516,2242752,251698,2
1963152-20090316,1963152,341714,1
1968559-20090415,1968559,342592,1
1139884-20010816,1164962,212629,1
1493643-20060216,1670389,277277,1
20524-20020216,1210300,52225,1
29796-20040216,1454056,31395,1
1197714-20020816,1271845,86252,3
38070-20060216,1660181,54691,1
19677-20110116,2066052,28839,1
76272-20020216,1200227,12715,2
1299936-20021101,1299936,202373,2
27467-20040216,1450099,11317,9
1445872-20031114,1445872,35068,3
34456-20120116,2126696,32597,1
69821-20060816,1725154,44819,1
1044745-20020216,1216284,203230,1
2125063-20111027,2125063,367368,1
1475704-20050216,1552564,20442,2
1997823-20130216,2224099,285518,2
1868113-20091016,1988116,44263,3
2078746-20110118,2078746,359266,1
1927409-20100916,2047546,336472,1
1883648-20110416,2082864,325685,1
1574900-20050124,1574900,286814,1
2103344-20110628,2103344,363330,1
58585-20110816,2100393,40750,1
1275276-20030216,1313115,33084,2
1352628-20070216,1784189,81653,2
16280-20100616,2028054,184,1
1123150-20060216,1661802,65029,2
1358350-20040216,1468364,264496,1
44672-20070816,1830557,55740,1
1964317-20110416,2083102,342168,1
12493-20020216,1199240,6078,1
1475010-20040202,1475010,248250,3
1445107-20040816,1511641,265135,1
1474309-20060216,1669422,272315,1
75373-20020216,1202456,22447,2
1542325-20120216,2130637,7818,1
1273755-20030216,1328585,251782,1
1621253-20140916,2344144,209689,2
17826-20130416,2235870,28431,1
1970471-20130516,2243995,343513,1
1491243-20041116,1541054,276111,1
1623144-20060816,1735387,294707,1
14793-20031116,1429774,27600,1
1545361-20041119,1545361,29820,2
69346-20100516,2023947,60232,1
1381740-20030728,1381740,265955,1
30470-20030216,1317485,53549,1
1069211-20020216,1202396,22295,4
1475721-20070216,1790438,272850,1
1424790-20040216,1469320,268078,1
50265-20020216,1211643,56618,1
1546671-20071116,1862807,274560,2
1997952-20090922,1997952,312982,3
1844474-20110716,2097021,320985,1
1954857-20090213,1954857,340943,1
1545670-20061116,1758660,264032,2
1519561-20060216,1671157,281409,1
1622230-20070216,1793928,295722,1
1597829-20050613,1597829,292660,1
1198182-20020118,1198182,222702,1
2147237-20120403,2147237,371033,1
1475257-20050216,1569664,272692,1
1697290-20080416,1891331,303890,1
2064549-20101025,2064549,357564,1
1382168-20040107,1382168,266153,1
2163759-20160316,2443859,31886,2
39439-20061116,1752294,54892,1
1444186-20040216,1469637,269360,1
27903-20030516,1343378,13838,1
65546-20070216,1782667,59445,2
1488196-20050216,1565571,246960,2
16614-20040216,1460554,85699,1
78941-20030216,1320447,67401,1
54507-20051116,1634943,86301,2
1578189-20060216,1664588,212762,1
11291-20110416,2081156,62961,2
22066-20030216,1311926,29434,1
1166936-20020216,1219741,217096,1
22619-20050216,1550599,9321,1
1816946-20071116,1867906,315890,1
1139556-20030216,1315397,42738,2
1768984-20080816,1912346,222437,2
2020852-20100216,2020852,350851,1
1515653-20060216,1670569,278209,1
1331444-20061116,1748194,25841,3
63120-20040216,1451445,19885,2
53321-20060216,1663316,87038,1
1741014-20100616,2028231,7840,2
85288-20090516,1961391,66182,2
1848310-20091116,1994756,211531,4
1770051-20080416,1891411,311617,1
1798156-20070125,1798156,85540,3
1353821-20030422,1353821,262133,1
1379656-20030701,1379656,264951,1
1299560-20040216,1465695,253915,1
2183907-20120827,2183907,375154,1
2036923-20100528,2036923,353719,1
35970-20050216,1592855,54335,1
1494580-20050216,1571211,277785,1
1802528-20070223,1802528,220542,34
39399-20050516,1587717,86180,1
1520686-20040927,1520686,281928,1
2115117-20110913,2115117,322110,2
1122829-20050216,1563457,211040,1
1380617-20040216,1468646,265480,1
53176-20061116,1746985,17767,1
1247189-20111116,2117508,247622,1
37245-20031116,1435784,88757,1
1382207-20030801,1382207,266176,1
2561-20121116,2185910,24481,1
55017-20030216,1321431,86304,1
1597354-20070216,1793354,292358,1
1332734-20030225,1332734,258450,1
1904167-20090320,1904167,330971,1
2003124-20091023,2003124,348275,1
39763-20080316,1885462,5560,1
1742498-20080116,1877997,308717,1
1698700-20060518,1698700,304575,1
1337853-20050216,1567484,260937,1
52491-20070816,1828887,38354,1
1171334-20090316,1951457,219118,1
69833-20040216,1458904,60332,1
1274139-20021114,1274139,251968,1
2120227-20111020,2120227,286001,3
1915344-20120716,2155761,333561,1
1948225-20090129,1948225,29087,31
1903763-20100516,2025620,330768,1
1196394-20030216,1319062,60222,3
1355824-20050216,1567886,263120,1
53815-20030216,1318468,57233,1
1620279-20050817,1620279,203449,3
45675-20021116,1279465,5511,1
2099489-20150616,2395898,362885,1
1479077-20050216,1570148,274033,1
1679179-20070816,1838949,300955,1
1094313-20071116,1848952,3193,2
1165610-20050516,1588558,215429,1
62588-20010216,1100428,19763,2
18199-20020216,1210210,51957,1
56611-20030216,1309143,18345,2
55185-20010216,1112508,57500,1
2064281-20101026,2064281,357423,1
1225578-20020313,1225578,243206,1
1868189-20091016,1990171,322672,1
1477683-20150516,2388153,273450,1
2141728-20120229,2141728,370098,1
1573123-20071116,1863955,286089,1
37225-20050216,1558952,54547,1
1489421-20060216,1654039,19620,2
2152736-20120427,2152736,371892,1
2109014-20110802,2109014,364968,1
1121868-20050216,1553073,23009,3
1448311-20110316,2077231,271360,1
63164-20010216,1274025,58984,1
66360-20070816,1832902,88810,2
1843566-20101016,2052832,320604,1
1474072-20041027,1474072,2700,2
1446741-20040216,1469868,270693,1
1516889-20050317,1516889,243732,10
80892-20041116,1529607,48975,1
1351943-20030521,1351943,261206,1
1300966-20040216,1465818,254539,1
1277846-20021031,1277846,253617,1
1577196-20050302,1577196,287837,1
3358-20120416,2138767,2866,1
2147730-20120410,2147730,371260,1
1247506-20040216,1464832,247800,1
1143844-20060516,1686678,31516,16
1976026-20110616,2092520,344394,1
1171567-20101016,2051738,219224,1
1579120-20050512,1579120,250579,2
1381988-20070216,1789617,266073,1
1226664-20040816,1421808,243691,1
1380779-20040216,1468658,265512,1
1246154-20070216,1787629,247059,1
10436-20090116,1939287,4633,1
1249149-20030216,1327905,248712,1
30130-20040216,1457697,53511,1
1516756-20120216,2132212,280178,1
41914-20110316,2075163,16137,5
1802348-20070221,1802348,314551,1
1302844-20060216,1667101,255560,1
2014198-20100113,2014198,350115,1
1816704-20071220,1816704,497,6
15836-20020516,1237656,27895,1
1926523-20110916,2107271,336039,1
1228344-20050216,1565333,245123,1
2026880-20130316,2227338,212308,2
21056-20030216,1317129,52290,1
1617821-20050712,1617821,293809,1
52823-20020216,1201128,17712,2
1574607-20060216,1669378,272079,2
31897-20070216,1775161,14435,1
2134307-20140116,2298050,368823,1
2069962-20101213,2069962,358600,1
1577226-20070216,1783585,65406,78
2104513-20110722,2104513,37748,2
1948063-20110116,2065795,16996,6
1741483-20060908,1741483,249995,3
2129245-20111118,2129245,367923,1
1848147-20091016,1990141,322433,1
2128994-20111116,2128994,364254,2
18318-20111216,2121714,7516,1
58806-20050216,1552256,18730,2
1475814-20060216,1669561,272886,1
1245674-20060816,1730728,246831,1
1384312-20050216,1552429,19730,2
1921170-20110716,2097216,334636,1
1697007-20060425,1697007,303737,1
1892172-20120816,2161060,328054,1
2008062-20110916,2107707,348938,1
1820602-20110516,2086960,317361,1
1245082-20020501,1245082,246509,1
1477317-20110516,2085439,29434,2
26294-20030816,1422492,52984,1
52176-20020216,1207246,38226,1
1821574-20090116,1941944,317742,1
1000803-20070216,1781914,54492,1
24042-20010516,1136759,63464,1
2065424-20101110,2065424,357950,1
1992538-20101216,2063002,306502,2
2094005-20110505,2094005,361943,1
1846806-20120116,2128158,317886,1
1622124-20100316,2015690,208283,2
2078684-20110114,2078684,359231,1
1575925-20050203,1575925,49262,2
1575060-20070216,1778131,29087,18
1768191-20090116,1941712,310725,1
2129029-20111115,2129029,293545,2
1801299-20120416,2138872,8970,75
2108456-20110725,2108456,364604,1
86658-20020216,1379267,81940,1
1193017-20110616,2091137,219718,1
2007981-20140916,2347066,348807,6
1975298-20090810,1975298,343296,2
1069711-20060216,1663852,205392,1
17829-20020216,1210191,51918,1
1384077-20040216,1469029,266955,1
1335205-20070216,1782030,55116,3
1169400-20020216,1220029,218163,1
2134637-20140116,2298111,368966,1
1248521-20110416,2081322,63414,88
1301281-20030216,1444817,57694,3
41090-20030216,1313476,34407,1
2094151-20110506,2094151,362008,1
2109845-20110810,2109845,365336,1
2108700-20150816,2409685,364746,1
1445160-20111016,2111830,269813,1
1248358-20020604,1248358,47178,2
16555-20040216,1453173,28075,1
1768519-20101016,2052672,310877,1
1070352-20040216,1461632,206026,1
57132-20060216,1660771,57880,1
1478204-20050216,1570014,273663,1
42257-19990216,1242748,34729,1
1969485-20111016,2112853,343051,1
1276999-20060216,1666808,253200,1
54419-20070216,1776024,17977,2
1337051-20111116,2117607,258148,1
1332640-20050216,1558243,51392,3
1875330-20110816,2101818,324466,1
1196998-20110716,2095459,48962,1
2060451-20110516,2086317,251609,4
1801262-20101016,2052745,314183,1
1543565-20110816,2100971,246742,1
70501-20020216,1212560,60451,1
1494959-20040816,1513716,277982,1
